iter	RMSE
0	2.863581064
1	2.771620792
2	2.687892873
3	2.604224269
4	2.523290974
5	2.44899603
6	2.375992105
7	2.309390058
8	2.243243356
9	2.185035895
10	2.127859346
11	2.076114042
12	2.029034989
13	1.985968662
14	1.941676021
15	1.901049145
16	1.862567262
17	1.827820574
18	1.796207501
19	1.765766545
20	1.738374329
21	1.714749264
22	1.688468189
23	1.665177461
24	1.642711447
25	1.621761103
26	1.601765238
27	1.584293499
28	1.566401874
29	1.549400188
30	1.53367829
31	1.51920642
32	1.506582397
33	1.49116808
34	1.4787417
35	1.468563352
36	1.4555158
37	1.443955936
38	1.43107141
39	1.421577739
40	1.410975462
41	1.399405305
42	1.342	1.40543	1.382640187
44	1.372968019
45	1.363305782
46	1.353238203
47	1.3447	1.36248	1.3348	1.35249	1.3249	1.345148153
50	1.338829051
51	1.331775777
52	1.326121672
53	1.317521471
54	1.310984111
55	1.304366073
56	1.298565908
57	1.29384946
58	1.288064142
59	1.281154658
60	1.275581145
61	1.27053566
62	1.26534766
63	1.258744133
64	1.255375554
65	1.250590927
66	1.244005132
67	1.239499265
68	1.236559496
69	1.230648705
70	1.2270285
71	1.220902769
72	1.216687018
73	1.214038849
74	1.207672762
75	1.204219885
76	1.200838299
77	1.194827752
78	1.192410534
79	1.187551846
80	1.183108763
81	1.180163102
82	1.176861667
83	1.171889465
84	1.164890179
85	1.162060064
86	1.15859593
87	1.155856258
88	1.152136257
89	1.150068172
90	1.146180042
91	1.143223618
92	1.141214164
93	1.137881751
94	1.135186476
95	1.133241664
96	1.130552451
97	1.126827168
98	1.122742708999	1.1200967671100	1.1177401310101	1.1127714210102	1.11071824103	1.104702072
104	1.10096466
105	1.098537892
106	1.096529686
107	1.09382106
108	1.092448498
109	1.090099667
110	1.088240424
111	1.085028822
112	1.083081004
113	1.079525002
114	1.077703017
115	1.075011153
116	1.072263865
117	1.070655428
118	1.066043006
119	1.064599054
120	1.061572415
121	1.058646521
122	1.054228261
123	1.051417874
124	1.04903273
125	1.046575246
126	1.045480171
127	1.043718548
128	1.042144676
129	1.039694123
130	1.037032036
131	1.03473551
132	1.03305755
133	1.031076668
134	1.029454538
135	1.027364929
136	1.025397397
137	1.023464746
138	1.020028923
139	1.018750808
140	1.015946332
141	1.013247865
142	1.010562439
143	1.008126342
144	1.00595021
145	1.00196522
146	0.9985486954
147	0.9962315806
148	0.9948387957
149	0.991612643
150	0.9903407484
151	0.9891143287
152	0.9881848538
153	0.9869895712
154	0.9833781131
155	0.9789362137
156	0.9776557928
157	0.9743347451
158	0.97286057
159	0.9708047077
160	0.9683498166
161	0.9663785476
162	0.9649819827
163	0.9628535238
164	0.961307441
165	0.9585647802
166	0.9558135801
167	0.9526076922
168	0.9499502797
169	0.9487998452
170	0.9470707674
171	0.9450859234
172	0.9439518578
173	0.941911814
174	0.9405304146
175	0.9378582857
176	0.9357603571
177	0.9328037498
178	0.9308384874
179	0.9300640794
180	0.9287183668
181	0.9271725894
182	0.92568808
183	0.9223002103
184	0.9201487399
185	0.9170814085
186	0.9159955854
187	0.9140497971
188	0.9119191191
189	0.9105146063
190	0.9079672669
191	0.9051043072
192	0.9035823906
193	0.9009582702
194	0.8996493439
195	0.8984686846
196	0.8963890375
197	0.8953506537
198	0.8930025657
199	0.8904666231
200	0.8886522766
201	0.8865230703
202	0.8840974959
203	0.8828113488
204	0.8807691782
205	0.8785485041
206	0.8762907873
207	0.8738786038
208	0.8730266594
209	0.8716845345
210	0.8704883506
211	0.8681058613
212	0.8665961215
213	0.8653141101
214	0.8633872476
215	0.8613678641
216	0.8597526191
217	0.8580499881
218	0.8559920964
219	0.8540078478
220	0.8518876891
221	0.8497609192
222	0.8485853123
223	0.8475115979
224	0.8462322764
225	0.8446920339
226	0.8430372286
227	0.8423168655
228	0.8410700252
229	0.8395008071
230	0.8385376219
231	0.837425053
232	0.8358937099
233	0.8340717898
234	0.8329335782
235	0.832036248
236	0.8305597031
237	0.8294747694
238	0.828527153
239	0.827217891
240	0.825620757
241	0.8247901679
242	0.8230371015
243	0.8209748117
244	0.8200436217
245	0.8189453925
246	0.8180473625
247	0.8172614066
248	0.8161463189
249	0.8155070491
250	0.8149020516
251	0.8143536149
252	0.8120339585
253	0.8112254418
254	0.8094617447
255	0.8076847595
256	0.806768845
257	0.8056106533
258	0.8049600823
259	0.802934369
260	0.8004576121
261	0.7997169417
262	0.7987332188
263	0.7968810393
264	0.7949016062
265	0.7938016677
266	0.7919203429
267	0.7913573959
268	0.790147399
269	0.7889079259
270	0.7873415091
271	0.7858586375
272	0.7852492963
273	0.7833578934
274	0.7819142456
275	0.7802316137
276	0.7788053458
277	0.7764213256
278	0.7749940207
279	0.7735468761
280	0.7719134705
281	0.7705829856
282	0.7695812101
283	0.7690340538
284	0.7674196069
285	0.7664333476
286	0.7651940828
287	0.763243774
288	0.7617050229
289	0.7606585576
290	0.7590298779
291	0.7571410584
292	0.7552215076
293	0.75407462
294	0.7520095304
295	0.7511750743
296	0.7505188024
297	0.7493206108
298	0.747824196
299	0.7465180923
300	0.7458438897
301	0.7446329615
302	0.7430885631
303	0.7418835849
304	0.7410047117
305	0.7403046262
306	0.7393299796
307	0.7379319255
308	0.7368844868
309	0.7362805574
310	0.7345207923
311	0.7336404564
312	0.732515379
313	0.7315134398
314	0.7307760116
315	0.7300968896
316	0.729183327
317	0.7280590392
318	0.727014154
319	0.7259784265
320	0.7249509743
321	0.7238211991
322	0.7226030817
323	0.7217517549
324	0.7201770543
325	0.7193509623
326	0.7180672621
327	0.7171962342
328	0.7158849921
329	0.7152306859
330	0.7145805704
331	0.7132192266
332	0.7119527399
333	0.7113930936
334	0.7100007024
335	0.7086760492
336	0.7080224671
337	0.7074601559
338	0.7064905184
339	0.7051923629
340	0.7045205168
341	0.7035297449
342	0.702066579
343	0.7009033666
344	0.6994231254
345	0.6987510738
346	0.6981583779
347	0.6969615001
348	0.6954653569
349	0.6937258958
350	0.6926336603
351	0.6916615898
352	0.6908443276
353	0.689684625
354	0.6884065776
355	0.6874190568
356	0.685596179
357	0.6850778064
358	0.6841401042
359	0.6833060682
360	0.6826702897
361	0.6818507272
362	0.6808224775
363	0.6798470154
364	0.6788389613
365	0.6783627009
366	0.6772275415
367	0.6758329565
368	0.6745008583
369	0.6732015895
370	0.6726759178
371	0.6716324203
372	0.6710940206
373	0.6697600757
374	0.6691251461
375	0.6682043864
376	0.6673928177
377	0.666417485
378	0.6655739925
379	0.665087646
380	0.6646523864
381	0.6638619913
382	0.6628648819
383	0.6618926711
384	0.6606580761
