iter	Passed	Remaining
0	52	52232
1	133	66515
2	163	54178
3	226	56348
4	305	60866
5	338	56143
6	394	55996
7	424	52691
8	449	49535
9	477	47297
10	502	45215
11	533	43955
12	567	43063
13	610	43016
14	649	42675
15	676	41633
16	702	40626
17	725	39592
18	761	39319
19	787	38582
20	820	38263
21	843	37502
22	867	36844
23	892	36301
24	920	35910
25	950	35614
26	980	35317
27	1004	34873
28	1027	34396
29	1051	34001
30	1087	34005
31	1117	33800
32	1155	33863
33	1188	33769
34	1229	33895
35	1264	33870
36	1287	33520
37	1310	33168
38	1338	32973
39	1372	32938
40	1396	32670
41	1425	32510
42	42	1638	36443	1496	32523
44	1540	32699
45	1562	32396
46	1587	32189
47	47	1795	35648	48	1838	35649	49	1874	35624
50	1907	35491
51	1944	35447
52	1997	35682
53	2029	35557
54	2062	35430
55	2112	35603
56	2145	35493
57	2179	35402
58	2210	35258
59	2248	35233
60	2288	35234
61	2318	35080
62	2355	35029
63	2384	34871
64	2422	34849
65	2456	34760
66	2493	34720
67	2519	34529
68	2551	34429
69	2573	34191
70	2597	33987
71	2619	33768
72	2649	33640
73	2668	33391
74	2691	33197
75	2711	32969
76	2729	32721
77	2755	32574
78	2773	32328
79	2788	32069
80	2803	31812
81	2822	31598
82	2843	31415
83	2866	31263
84	2887	31083
85	2905	30874
86	2929	30742
87	2959	30668
88	2978	30491
89	3000	30340
90	3018	30155
91	3038	29989
92	3052	29769
93	3065	29548
94	3082	29360
95	3097	29165
96	3112	28977
97	3130	28811
98	3142	28699	99	3157	284100100	3173	282101101	3188	280102102	3205	279103	3042	26209
104	3064	26118
105	3085	26025
106	3107	25931
107	3129	25847
108	3149	25744
109	3169	25647
110	3192	25571
111	3217	25509
112	3241	25445
113	3261	25351
114	3283	25272
115	3303	25175
116	3326	25103
117	3346	25014
118	3365	24916
119	3383	24810
120	3399	24696
121	3419	24609
122	3438	24516
123	3458	24430
124	3476	24333
125	3495	24247
126	3516	24174
127	3551	24192
128	3572	24118
129	3588	24016
130	3605	23916
131	3626	23848
132	3646	23768
133	3664	23682
134	3684	23609
135	3706	23547
136	3729	23491
137	3746	23405
138	3767	23339
139	3787	23264
140	3803	23171
141	3826	23122
142	3845	23045
143	3861	22955
144	3876	22858
145	3894	22778
146	3913	22709
147	3933	22641
148	3951	22568
149	3969	22494
150	3990	22435
151	4007	22355
152	4028	22300
153	4045	22225
154	4062	22146
155	4078	22068
156	4095	21990
157	4112	21916
158	4128	21839
159	4146	21770
160	4163	21697
161	4181	21631
162	4199	21563
163	4218	21506
164	4237	21443
165	4253	21368
166	4275	21324
167	4291	21252
168	4308	21186
169	4324	21113
170	4340	21040
171	4355	20968
172	4372	20902
173	4387	20829
174	4404	20763
175	4420	20694
176	4436	20626
177	4450	20554
178	4465	20482
179	4482	20420
180	4503	20376
181	4519	20313
182	4535	20249
183	4551	20186
184	4567	20123
185	4582	20055
186	4599	19996
187	4617	19941
188	4632	19878
189	4649	19822
190	4667	19770
191	4683	19709
192	4705	19674
193	4725	19632
194	4745	19590
195	4762	19536
196	4781	19491
197	4797	19432
198	4819	19398
199	4838	19353
